id,price,latitude,longitude,katastrinumber,url
3623360,270 €  8.94 €/m²,58.371902,26.7771087,79516:021:0006,https://www.kv.ee/3623360
3627264,480 €  9.62 €/m²,58.376006,26.682769,79502:036:0001,https://www.kv.ee/3627264
3628632,395 €  12.4 €/m²,58.3568258,26.690037,79504:052:004,https://www.kv.ee/3628632
3631530,490 €  10.5 €/m²,58.349354,26.72477,79511:005:0011,https://www.kv.ee/3631530
3634671,300 €  9.74 €/m²,58.36895,26.717701,79506:009:0042,https://www.kv.ee/3634671
3635652,400 €  8 €/m²,58.362323,26.729278,79508:016:0007,https://www.kv.ee/3635652
3636949,600 €  9.38 €/m²,58.374379,26.72479,79507:064:0004,https://www.kv.ee/3636949
3643442,430 €  12.7 €/m²,58.381864,26.729424,79514:018:0004,https://www.kv.ee/3643442
3643701,390 €  7.94 €/m²,58.3690635,26.7700453,79516:028:0010,https://www.kv.ee/3643701
3647709,990 €  20.5 €/m²,58.377858,26.720099,79507:031:0010,https://www.kv.ee/3647709
3650385,600 €  11 €/m²,58.366177,26.773459,79301:001:0469,https://www.kv.ee/3650385
3651071,355 €  22.2 €/m²,58.3713036,26.7177443,79506:009:0049,https://www.kv.ee/3651071
3651086,390 €  20.2 €/m²,58.3713036,26.7177443,79506:009:0049,https://www.kv.ee/3651086
3651886,400 €  8.79 €/m²,58.367215,26.742107,79508:077:0001,https://www.kv.ee/3651886
3653857,470 €  16 €/m²,58.373386,26.720369,,https://www.kv.ee/3653857
3654070,750 €  13.8 €/m²,58.39860770000001,26.7514058,79601:001:1057,https://www.kv.ee/3654070
3659946,350 €  11.6 €/m²,58.368337,26.772927,79516:029:0012,https://www.kv.ee/3659946
3661040,750 €  9.38 €/m²,58.373173,26.730769,79301:001:0104,https://www.kv.ee/3661040
3665509,480 €  19.2 €/m²,58.37252200000001,26.691602000000007,79502:022:0001,https://www.kv.ee/3665509
3665747,520 €  16.8 €/m²,58.3725466,26.6916219,79502:022:0001,https://www.kv.ee/3665747
3667513,850 €  13.7 €/m²,58.381158,26.721243,79507:014:0007,https://www.kv.ee/3667513
